170,85,AWAY,-1.5,-108,,
171,86,OVER,221.5,-110,,
172,86,UNDER,221.5,-110,,
173,87,HOME,,-650,,
174,87,AWAY,,470,,
175,88,HOME,-12.0,-108,,
176,88,AWAY,12.0,-112,,
177,89,OVER,220.5,-110,,
178,89,UNDER,220.5,-110,,
179,90,HOME,,330,,
180,90,AWAY,,-425,,
181,91,HOME,9.0,-108,,
182,91,AWAY,-9.0,-112,,
183,92,OVER,230.5,-112,,
184,92,UNDER,230.5,-108,,
185,93,AWAY,,-125,,
186,93,HOME,,105,,
187,94,AWAY,-2.0,-108,,
188,94,HOME,2.0,-112,,
189,95,OVER,224.0,-110,,
190,95,UNDER,224.0,-110,,
191,96,AWAY,,-135,,
192,96,HOME,,114,,
193,97,AWAY,-2.0,-112,,
194,97,HOME,2.0,-108,,
195,98,OVER,231.5,-110,,
196,98,UNDER,231.5,-110,,
197,99,HOME,,-162,,
198,99,AWAY,,136,,
199,100,HOME,-3.5,-110,,
200,100,AWAY,3.5,-110,,
201,101,OVER,234.5,-110,,
202,101,UNDER,234.5,-110,,
203,99,HOME,,-20000,,
204,99,AWAY,,3000,,
205,100,HOME,-4.5,-110,,
206,100,AWAY,4.5,-120,,
207,101,OVER,259.5,190,,
208,101,UNDER,259.5,-250,,
209,102,HOME,,-310,,
210,102,AWAY,,250,,
211,103,HOME,-7.5,-110,,
212,103,AWAY,7.5,-110,,
213,104,OVER,227.5,-110,,
214,104,UNDER,227.5,-110,,
215,105,HOME,,340,,
216,105,AWAY,,-440,,
217,106,HOME,9.5,-110,,
218,106,AWAY,-9.5,-110,,
219,107,OVER,229.5,-110,,
220,107,UNDER,229.5,-110,,
221,108,AWAY,,-225,,
222,108,HOME,,185,,
223,109,AWAY,-5.5,-115,,
224,109,HOME,5.5,-105,,
225,110,OVER,218.5,-110,,
226,110,UNDER,218.5,-110,,
227,111,AWAY,,340,,
228,111,HOME,,-440,,
229,112,AWAY,9.5,-110,,
230,112,HOME,-9.5,-110,,
231,113,OVER,232.5,-110,,
232,113,UNDER,232.5,-110,,
233,114,AWAY,,215,,
234,114,HOME,,-265,,
235,115,AWAY,6.0,-110,,
236,115,HOME,-6.0,-110,,
237,116,OVER,224.5,-110,,
238,116,UNDER,224.5,-110,,
239,117,HOME,,-305,,
240,117,AWAY,,245,,
241,118,HOME,-7.0,-110,,
242,118,AWAY,7.0,-110,,
243,119,OVER,232.0,-110,,
244,119,UNDER,232.0,-110,,
245,120,HOME,,-470,,
246,120,AWAY,,360,,
247,121,HOME,-9.5,-110,,
248,121,AWAY,9.5,-110,,
249,122,OVER,233.5,-110,,
250,122,UNDER,233.5,-110,,
251,123,AWAY,,120,,
252,123,HOME,,-142,,
253,124,AWAY,2.5,-110,,
254,124,HOME,-2.5,-110,,
255,125,OVER,222.5,-110,,
256,125,UNDER,222.5,-110,,
257,126,AWAY,,-355,,
258,126,HOME,,280,,
259,127,AWAY,-8.0,-110,,
260,127,HOME,8.0,-110,,
261,128,OVER,220.0,-110,,
262,128,UNDER,220.0,-110,,
263,129,AWAY,,295,,
264,129,HOME,,-375,,
265,130,AWAY,8.0,-110,,
266,130,HOME,-8.0,-110,,
267,131,OVER,220.5,-110,,
268,131,UNDER,220.5,-110,,
269,132,AWAY,,250,,
270,132,HOME,,-310,,
271,133,AWAY,7.5,-110,,
272,133,HOME,-7.5,-110,,
273,134,OVER,233.5,-110,,
274,134,UNDER,233.5,-110,,
275,135,AWAY,,-142,,
276,135,HOME,,120,,
277,136,AWAY,-2.5,-110,,
278,136,HOME,2.5,-110,,
279,137,OVER,221.0,-110,,
280,137,UNDER,221.0,-110,,
281,138,HOME,,-575,,
282,138,AWAY,,425,,
283,139,HOME,-10.5,-110,,
284,139,AWAY,10.5,-110,,
285,140,OVER,233.5,-110,,
286,140,UNDER,233.5,-110,,
287,141,AWAY,,120,,
288,141,HOME,,-142,,
289,142,AWAY,2.5,-110,,
